secCode,secName,orgId,announcementTitle,adjunctUrl
2142,宁波银行,9900003281,宁波银行2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-06/1216331275.PDF
2514,宝馨科技,9900016129,宝馨科技2022年年度报告（更新后）,http://static.cninfo.com.cn/finalpage/2023-04-06/1216330966.PDF
300890,翔丰华,9900036058,翔丰华2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-06/1216330284.PDF
300991,创益通,gfbj0835741,创益通2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-06/1216329912.PDF
2735,王子新材,9900023181,王子新材2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-06/1216329314.PDF
300062,中能电气,9900010588,中能电气2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-05/1216331216.PDF
300956,英力股份,9900041340,英力股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-05/1216331023.PDF
603878,武进不锈,9900028821,武进不锈2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-05/1216327921.PDF
600845,宝信软件,gssh0600845,宝信软件2022年度报告全文,http://static.cninfo.com.cn/finalpage/2023-04-05/1216327854.PDF
839167,同享科技,gfbj0839167,同享科技2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216329125.PDF
600506,统一股份,gssh0600506,统一股份统一低碳科技（新疆）股份有限公司2022年年度报告全文,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320799.PDF
300011,鼎汉技术,9900008309,鼎汉技术2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320564.PDF
45,深纺织Ａ,gssz0000045,深纺织Ａ2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320468.PDF
300227,光韵达,9900019288,光韵达2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320396.PDF
600888,新疆众和,gssh0600888,新疆众和股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320348.PDF
1225,和泰机电,9900048366,和泰机电2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320296.PDF
300296,利亚德,9900021901,利亚德2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320200.PDF
725,京东方Ａ,gssz0000725,京东方Ａ2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320138.PDF
2521,齐峰新材,9900016328,齐峰新材2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320071.PDF
1872,招商港口,gssz0000022,招商港口2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216320035.PDF
2488,金固股份,9900015174,金固股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216319937.PDF
600817,宇通重工,gssh0600817,宇通重工2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216319268.PDF
2033,丽江股份,gssz0002033,丽江股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216319195.PDF
300938,信测标准,9900029013,信测标准2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216319110.PDF
603158,腾龙股份,9900023476,腾龙股份常州腾龙汽车零部件股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216318890.PDF
600391,航发科技,gssh0600391,航发科技中国航发航空科技股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216318518.PDF
3029,吉大正元,9900039732,吉大正元2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216318483.PDF
2563,森马服饰,9900018668,森马服饰2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216318372.PDF
605020,永和股份,9900041940,永和股份浙江永和制冷股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216318211.PDF
1965,招商公路,GD008065,招商公路2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216317953.PDF
2229,鸿博股份,9900004546,鸿博股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216317707.PDF
688556,高测股份,gfbj0834278,高测股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216317557.PDF
600478,科力远,gssh0600478,科力远2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216317485.PDF
600018,上港集团,9900001281,上港集团2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216317451.PDF
2029,七 匹 狼,gssz0002029,七 匹 狼2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216317427.PDF
603538,美诺华,9900029824,宁波美诺华药业股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216316688.PDF
601231,环旭电子,9900022058,环旭电子股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216316655.PDF
600071,凤凰光学,gssh0600071,凤凰光学股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216316563.PDF
301301,川宁生物,nssc1000835,川宁生物2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216316453.PDF
2483,润邦股份,9900014776,润邦股份2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216315758.PDF
301222,浙江恒威,9900036488,浙江恒威2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216315662.PDF
300813,泰林生物,gfbj0833327,泰林生物2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216314965.PDF
600623,华谊集团,gssh0600623,华谊集团2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-04/1216314690.PDF
831039,国义招标,gfbj0831039,国义招标2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-03/1216318816.PDF
836892,广咨国际,gfbj0836892,广咨国际2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-03/1216317375.PDF
688410,山外山,gfbj0838057,重庆山外山血液净化技术股份有限公司2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-03/1216306738.PDF
605167,利柏特,nssc1000345,利柏特2022年年度报告,http://static.cninfo.com.cn/finalpage/2023-04-03/1216306691.PDF
